,0
MS00526|IRX2,0.136592683822923
MC00231|MEF2C,0.13941655970469
MS00668|Nr2e1,0.14194539335524872
UP00055|HBP1,0.14304875317813245
MS00339|TEF,0.14672644668998666
MC00355|SRF,0.14892136993025168
MC00369|Myod1,0.14995971184583748
UP00019|ZBTB12,0.15057699844944156
MS00336|NFE2,0.15281874109930393
UP00182|HOXA6,0.1563619070925752
MS00045|GATA5,0.1566621110539489
MC00452|STAT5B,0.1594758670702622
M00621|CEBPD,0.16007262260350333
MS00582|OTX1,0.16017536419994782
MS00454|EVX1,0.16056467760357637
MS00412|ZNF410,0.1620031102549468
MA0030|FOXF2,0.16271150013239732
MS00216|TBX5,0.1651641489244615
UP00185|PBX1,0.16843677026611134
UP00238|Nkx6-3,0.16847000620131397
MS00605|RAXL1,0.17073417309643832
MS00517|Hoxc10,0.17520408967911835
M01364|Obox2,0.1794048966597814
UP00263|Hoxb8,0.18252006194103665
UP00401|SOX4,0.1903199149222675
M01195|TBX22,0.19330345843732397
MS00503|HOXC12,0.19394945198012656
UP00120|Lbx2,0.19428044364765784
MS00219|TEAD1,0.19740584786964685
MS00669|Nr2f6,0.19756849632992426
MS00596|PITX3,0.1989927663244709
MS00455|EVX2,0.20681226150115165
MS00575|NKX6-1,0.21215583528489743
MC00411|BATF,0.2131881757530004
MS00096|TGIF2,0.2138176273339842
MS00525|Hoxd9,0.21547101189548717
MS00450|EN2,0.21645436097613246
UP00126|DLX2,0.221478214589434
MS00611|Rhox11,0.22383796204054926
MS00653|NR2E1,0.22723470370521442
MS00442|EMX1,0.22830880821679148
MS00059|HSF2,0.23112607661030557
UP00151|BARX2,0.23367793589194769
MS00431|DLX5,0.23428915461960406
MS00441|EMX1,0.23524038746223533
MS00617|UNCX,0.24063215675616506
MS00424|CART1,0.24760640181997506
MS00191|TBR1,0.2524433821901388
MS00690|ONECUT3,0.252634935744982
MS00452|ESX1,0.25487189459690224
MS00089|Meis3,0.2569508335336769
MS00549|Lhx8,0.25945438568793144
M01300|HMGA2,0.25973703060632874
MS00542|LHX9,0.26707158074943793
MS00330|MAFK,0.2692313611673778
MC00507|Meis1,0.2698833410226984
MS00489|HOXB13,0.272971525968676
MS00106|NFAT5,0.2732520944043243
UP00221|PHOX2A,0.28099600672518443
MC00233|Pou5f1,0.284061084177278
M01151|Dmrtc2,0.28454519401133643
MS00467|Gbx1,0.2848582600474941
UP00389|NKX3-1,0.28920691365815165
MS00222|TEAD3,0.291672967468077
MS00387|FOXP3,0.29471918816873827
M01306|ZNF217,0.2962547103060087
MS00170|Rfx2,0.2976905435817256
UP00159|SIX2,0.2979941449853678
